,purchase,total_events,unique_products,unique_categories,active_hours,view_count,cart_count,session_count,avg_session_duration,cart_event_ratio,cart_per_product
5927,purchase,34,14,1,45.71722222222222,30,2,1,2743.0333333333333,0.058823529411764705,0.14285714285714285
34241,purchase,7,3,1,2.049166666666667,5,1,1,122.95,0.14285714285714285,0.3333333333333333
21886,purchase,6,1,1,3.071111111111111,3,1,1,184.26666666666668,0.16666666666666666,1.0
27789,purchase,3,1,1,0.0425,1,1,1,2.5500000000000003,0.3333333333333333,1.0
33772,purchase,4,2,2,0.030833333333333334,2,1,1,1.85,0.25,0.5
30638,purchase,3,1,1,0.018055555555555554,1,1,1,1.0833333333333333,0.3333333333333333,1.0
23037,purchase,3,1,1,0.021111111111111112,1,1,1,1.2666666666666666,0.3333333333333333,1.0
14488,purchase,5,2,1,0.12,3,1,1,7.199999999999999,0.2,0.5
12365,purchase,9,1,1,0.29138888888888886,4,1,3,5.8277777777777775,0.1111111111111111,1.0
21566,purchase,3,1,1,0.10611111111111111,1,1,1,6.366666666666667,0.3333333333333333,1.0
27461,purchase,11,3,1,0.3447222222222222,6,2,2,10.341666666666667,0.18181818181818182,0.6666666666666666
22757,purchase,2,1,1,0.01638888888888889,1,0,1,0.9833333333333334,0.0,0.0
16524,purchase,3,1,1,0.043055555555555555,1,1,1,2.5833333333333335,0.3333333333333333,1.0
28432,purchase,4,1,1,0.2677777777777778,2,1,1,16.066666666666666,0.25,1.0
32396,purchase,3,1,1,0.028333333333333332,1,1,1,1.7,0.3333333333333333,1.0
38569,purchase,12,3,1,0.16833333333333333,4,3,1,10.1,0.25,1.0
10529,purchase,3,1,1,0.043055555555555555,1,1,1,2.5833333333333335,0.3333333333333333,1.0
12599,purchase,5,3,1,0.22944444444444445,3,1,1,13.766666666666667,0.2,0.3333333333333333
5492,purchase,5,1,1,26.184444444444445,3,1,3,523.688888888889,0.2,1.0
19294,purchase,3,1,1,0.36138888888888887,1,1,1,21.683333333333334,0.3333333333333333,1.0
20799,purchase,5,1,1,0.28694444444444445,2,1,1,17.21666666666667,0.2,1.0
5407,purchase,2,1,1,0.24444444444444444,1,0,1,14.666666666666666,0.0,0.0
19528,purchase,11,1,1,118.01638888888888,8,1,4,1770.2458333333332,0.09090909090909091,1.0
15556,purchase,4,1,1,0.28944444444444445,1,1,1,17.366666666666667,0.25,1.0
9745,purchase,3,1,1,0.6836111111111111,1,1,1,41.016666666666666,0.3333333333333333,1.0
23133,purchase,5,1,1,0.31416666666666665,2,1,1,18.849999999999998,0.2,1.0
35581,purchase,4,1,1,31.42861111111111,2,1,2,942.8583333333333,0.25,1.0
23948,purchase,3,1,1,0.07694444444444444,1,1,1,4.616666666666666,0.3333333333333333,1.0
7761,purchase,4,1,1,0.9622222222222222,2,1,2,28.866666666666667,0.25,1.0
682,purchase,4,2,1,0.04777777777777778,2,1,1,2.8666666666666667,0.25,0.5
15408,purchase,2,1,1,0.04138888888888889,0,0,2,1.2416666666666667,0.0,0.0
36169,purchase,11,4,1,0.3397222222222222,6,3,1,20.383333333333333,0.2727272727272727,0.75
24027,purchase,3,1,1,0.025833333333333333,1,1,1,1.55,0.3333333333333333,1.0
6754,purchase,5,1,1,0.04888888888888889,2,2,1,2.9333333333333336,0.4,2.0
26287,purchase,5,1,1,25.998333333333335,3,1,2,779.95,0.2,1.0
610,purchase,18,14,2,95.57527777777777,16,1,1,5734.516666666666,0.05555555555555555,0.07142857142857142
8035,purchase,21,11,4,0.5127777777777778,15,4,1,30.766666666666666,0.19047619047619047,0.36363636363636365
21160,purchase,3,1,1,0.07777777777777778,1,1,1,4.666666666666667,0.3333333333333333,1.0
16987,purchase,9,1,1,0.09416666666666666,5,2,2,2.8249999999999997,0.2222222222222222,2.0
12930,purchase,5,3,1,0.8091666666666667,2,2,1,48.550000000000004,0.4,0.6666666666666666
39363,purchase,3,1,1,0.08861111111111111,1,1,1,5.316666666666666,0.3333333333333333,1.0
7757,purchase,8,3,2,2.7741666666666664,4,2,1,166.45,0.25,0.6666666666666666
38334,purchase,12,5,1,0.1475,6,3,1,8.85,0.25,0.6
2714,purchase,14,7,1,1.083888888888889,10,2,2,32.516666666666666,0.14285714285714285,0.2857142857142857
945,purchase,15,8,2,0.3,11,3,2,9.0,0.2,0.375
21410,purchase,4,2,1,75.29472222222222,2,1,2,2258.8416666666667,0.25,0.5
28579,purchase,4,2,1,0.015833333333333335,2,1,1,0.9500000000000001,0.25,0.5
24594,purchase,4,1,1,0.21166666666666667,2,1,1,12.7,0.25,1.0
4931,purchase,15,10,2,190.34583333333333,12,2,5,2284.15,0.13333333333333333,0.2
8922,purchase,4,2,1,0.24083333333333334,2,1,1,14.450000000000001,0.25,0.5
36860,purchase,9,5,1,0.09083333333333334,7,1,2,2.725,0.1111111111111111,0.2
6379,purchase,3,1,1,0.10472222222222222,1,1,1,6.283333333333333,0.3333333333333333,1.0
33706,purchase,3,1,1,0.041944444444444444,1,1,2,1.2583333333333333,0.3333333333333333,1.0
33034,purchase,65,35,13,18.891111111111112,41,14,2,566.7333333333333,0.2153846153846154,0.4
27675,purchase,9,1,1,49.16222222222222,6,1,4,737.4333333333333,0.1111111111111111,1.0
32898,purchase,4,1,1,0.09666666666666666,2,1,1,5.8,0.25,1.0
18591,purchase,21,5,1,0.5686111111111111,10,5,1,34.11666666666667,0.23809523809523808,1.0
30772,purchase,5,2,1,0.04722222222222222,3,1,1,2.833333333333333,0.2,0.5
23393,purchase,5,1,1,26.554166666666667,3,1,2,796.625,0.2,1.0
35185,non_purchase,4,3,1,0.04472222222222222,3,1,1,2.683333333333333,0.25,0.3333333333333333
19499,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38089,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
36532,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
20297,non_purchase,2,1,1,0.0022222222222222222,2,0,2,0.06666666666666667,0.0,0.0
